replication_id,initial_trust,spillover_enabled,spillover_fraction,spillover_label,final_trust,final_cooperation
231,0.9,True,0.5,Partial Spillover,0.018000000000000002,0.02
232,0.9,True,0.5,Partial Spillover,0.0,0.0
233,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
234,0.9,True,0.5,Partial Spillover,0.0,0.0
235,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
236,0.9,True,0.5,Partial Spillover,0.0,0.0
237,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
238,0.9,True,0.5,Partial Spillover,0.0,0.0
239,0.9,True,0.5,Partial Spillover,0.0,0.0
240,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
241,0.9,True,1.0,Full Spillover,0.0,0.0
242,0.9,True,1.0,Full Spillover,0.0,0.0
243,0.9,True,1.0,Full Spillover,0.0,0.0
244,0.9,True,1.0,Full Spillover,0.0,0.0
245,0.9,True,1.0,Full Spillover,0.0,0.0
246,0.9,True,1.0,Full Spillover,0.0,0.0
247,0.9,True,1.0,Full Spillover,0.0,0.0
248,0.9,True,1.0,Full Spillover,0.0,0.0
249,0.9,True,1.0,Full Spillover,0.0,0.0
250,0.9,True,1.0,Full Spillover,0.0,0.0
251,0.9,True,1.0,Full Spillover,0.0,0.0
252,0.9,True,1.0,Full Spillover,0.0,0.0
253,0.9,True,1.0,Full Spillover,0.0,0.0
254,0.9,True,1.0,Full Spillover,0.0,0.0
255,0.9,True,1.0,Full Spillover,0.0,0.0
256,0.9,True,1.0,Full Spillover,0.0,0.0
257,0.9,True,1.0,Full Spillover,0.0,0.0
258,0.9,True,1.0,Full Spillover,0.0,0.0
259,0.9,True,1.0,Full Spillover,0.0,0.0
260,0.9,True,1.0,Full Spillover,0.0,0.0
261,0.9,True,1.0,Full Spillover,0.0,0.0
262,0.9,True,1.0,Full Spillover,0.0,0.0
263,0.9,True,1.0,Full Spillover,0.0,0.0
264,0.9,True,1.0,Full Spillover,0.0,0.0
265,0.9,True,1.0,Full Spillover,0.0,0.0
266,0.9,True,1.0,Full Spillover,0.0,0.0
267,0.9,True,1.0,Full Spillover,0.0,0.0
268,0.9,True,1.0,Full Spillover,0.0,0.0
269,0.9,True,1.0,Full Spillover,0.0,0.0
270,0.9,True,1.0,Full Spillover,0.0,0.0
